id;appeal_date;appeal_nr;phase;date_state_grounds_filed;date_interloc_revision;result;result_date
954452;2011-11-21;"T2430/11-3204";"opposition";2012-01-20;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2015-07-01
954452;2011-11-24;"T2430/11-3204";"opposition";2012-01-26;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2015-07-01
991627;2008-01-07;"T0025/08-3204";"opposition";2008-03-17;9999-12-31;"CONTINUATION OF OPPOSITION PROCEDURE";2010-04-20
991627;2012-01-30;"T0197/12-3204";"opposition";2012-04-27;9999-12-31;"WITHDRAWAL OF APPEAL OF THE OPPONENT";2016-01-27
1270702;2013-01-22;"T0173/13-3204";"opposition";2013-03-28;9999-12-31;"APPEAL OF PROPRIETOR REJECTED";2017-08-25
1921243;2012-01-12;"T0059/12-3204";"opposition";2012-03-13;9999-12-31;"WITHDRAWAL OF APPEAL OF THE OPPONENT";2015-11-12
7856957;2014-10-17;"T2078/14-3503";"opposition";2014-12-19;9999-12-31;"";9999-12-31
9150837;2015-04-10;"T0752/15-3503";"opposition";2015-06-12;9999-12-31;"";9999-12-31
90810450;1995-08-28;"";"examination";1995-11-02;1995-11-27;"";9999-12-31
95302626;2002-01-14;"T0063/02-3502";"opposition";2002-03-26;9999-12-31;"MAINTENANCE IN AMENDED FORM";2004-01-15
97933177;2011-09-28;"T2135/11-3502";"opposition";2011-12-05;9999-12-31;"APPEAL OF OPPONENT REJECTED";2013-03-20
