id;bulletin_year;bulletin_nr;licensee_seq_nr;licensee_country
5000275;2008;34;"01";"PT"
9735221;2013;25;"01";"ES"
5773954;2008;34;"01";"CZ"
8715664;2014;30;"03  01";"PT"
11719360;2013;25;"01";"SM"
6755831;2008;34;"01";"CH"
4793855;2009;33;"01";"TR"
5766122;2010;42;"01";"AT"
11804640;2015;24;"01  01";"HU"
4727186;2008;2;"01  00";"HU"
5766122;2010;42;"01";"TR"
11290434;2013;40;"01";"MT"
8701733;2012;6;"01";"IE"
9737113;2013;25;"01";"NO"
5796256;2010;45;"01  01";"TR"
8715664;2011;23;"01  01";"BE"
8715664;2014;30;"02  01";"SE"
8707361;2011;23;"01  01";"HR"
5796256;2010;45;"01  01";"AT"
13892077;2016;17;"01";"SE"
8776077;2013;25;"01";"GB"
9290794;2013;40;"01";"PT"
